observation_id,observed_on,created_at,quality_grade,place_guess,latitude,longitude,taxon_id,scientific_name,preferred_common_name,rank,iconic_taxon_name,observer_login,uri,photo_url,source
357265971,2026-05-01,2026-05-01T15:54:27-03:00,research,"Capital, AR-CN, AR",-27.5025216667,-58.8437183333,51454,Passiflora caerulea,Bluecrown passionflower,species,Plantae,olga93351,https://www.inaturalist.org/observations/357265971,https://inaturalist-open-data.s3.amazonaws.com/photos/651595264/medium.jpg,iNaturalist / ArgentiNat API: observations
357944691,2026-05-03,2026-05-03T12:57:02-03:00,research,"Villa Elisa, Provincia de Buenos Aires, Argentina",-34.86990918,-58.07401592,810560,Vachellia caven,Caven Thorn,species,Plantae,emil_facundo,https://www.inaturalist.org/observations/357944691,https://inaturalist-open-data.s3.amazonaws.com/photos/652913353/medium.jpg,iNaturalist / ArgentiNat API: observations
358135824,2026-05-02,2026-05-03T22:15:24-03:00,research,"Villa del Dique, Córdoba, AR",-32.2095,-64.4485083333,79143,Solanum sisymbriifolium,Red Buffalo-bur,species,Plantae,bernardita_medina,https://www.inaturalist.org/observations/358135824,https://static.inaturalist.org/photos/653286265/medium.jpg,iNaturalist / ArgentiNat API: observations
357751094,2026-05-02,2026-05-02T22:47:11-03:00,research,"Ramallo, Provincia de Buenos Aires, Argentina",-33.4850683496,-60.0045531616,53478,Commelina erecta,whitemouth dayflower,species,Plantae,leogsantoro,https://www.inaturalist.org/observations/357751094,https://static.inaturalist.org/photos/652543015/medium.jpg,iNaturalist / ArgentiNat API: observations
358378986,2026-05-04,2026-05-04T16:03:33-03:00,research,"Monserrat, Cdad. Autónoma de Buenos Aires, Argentina",-34.6131251944,-58.3816460833,162718,Erythrina crista-galli,Cockspur coral tree,species,Plantae,diegogallotti,https://www.inaturalist.org/observations/358378986,https://inaturalist-open-data.s3.amazonaws.com/photos/653763070/medium.jpg,iNaturalist / ArgentiNat API: observations
358430907,2026-05-04,2026-05-04T18:58:43-03:00,research,"3X56+XQ, D5835 Villa del Carmen, San Luis, Argentina",-32.8339247333,-65.032096,139069,Geoffroea decorticans,Chañar,species,Plantae,hugoalbertovalderrey,https://www.inaturalist.org/observations/358430907,https://inaturalist-open-data.s3.amazonaws.com/photos/653863626/medium.jpg,iNaturalist / ArgentiNat API: observations
358047152,2026-05-03,2026-05-03T17:31:44-03:00,research,"Triunvirato 7934, B1682 Billinghurst, Provincia de Buenos Aires, Argentina",-34.5683938,-58.5867993,64240,Cortaderia selloana,Pampas Grass,species,Plantae,franco_montano,https://www.inaturalist.org/observations/358047152,https://inaturalist-open-data.s3.amazonaws.com/photos/653108713/medium.jpg,iNaturalist / ArgentiNat API: observations
358480588,2026-05-04,2026-05-04T22:31:16-03:00,research,"WF5M+WR, La Falda, Córdoba, Argentina",-31.0890861111,-64.5177305556,279210,Celtis tala,Desert Hackberry,species,Plantae,gracieladangelo,https://www.inaturalist.org/observations/358480588,https://inaturalist-open-data.s3.amazonaws.com/photos/653962213/medium.jpg,iNaturalist / ArgentiNat API: observations
358094395,2026-05-03,2026-05-03T19:49:29-03:00,research,"San Lorenzo, Santa Fe, Argentina",-32.8203866107,-60.6862851977,50333,Lantana camara,common lantana,species,Plantae,fernandoduralde,https://www.inaturalist.org/observations/358094395,https://inaturalist-open-data.s3.amazonaws.com/photos/653201258/medium.jpg,iNaturalist / ArgentiNat API: observations
357591229,2026-05-02,2026-05-02T14:35:18-03:00,research,"Maracó, La Pampa, Argentina",-35.7241348333,-63.8288195,541592,Sphaeralcea bonariensis,Latin globemallow,species,Plantae,hugoalbertovalderrey,https://www.inaturalist.org/observations/357591229,https://inaturalist-open-data.s3.amazonaws.com/photos/652229598/medium.jpg,iNaturalist / ArgentiNat API: observations
