taxon_id,name,preferred_common_name,rank,iconic_taxon_name,observations_count
51454,Passiflora caerulea,Bluecrown passionflower,species,Plantae,3291
810560,Vachellia caven,Caven Thorn,species,Plantae,2378
79143,Solanum sisymbriifolium,Red Buffalo-bur,species,Plantae,2144
53478,Commelina erecta,whitemouth dayflower,species,Plantae,1972
162718,Erythrina crista-galli,Cockspur coral tree,species,Plantae,1958
139069,Geoffroea decorticans,Chañar,species,Plantae,1716
64240,Cortaderia selloana,Pampas Grass,species,Plantae,1676
279210,Celtis tala,Desert Hackberry,species,Plantae,1667
50333,Lantana camara,common lantana,species,Plantae,1532
424162,Solidago chilensis,Anise Goldenrod,species,Plantae,1375
541592,Sphaeralcea bonariensis,Latin globemallow,species,Plantae,1357
78954,Salpichroa origanifolia,Cock's-eggs,species,Plantae,1340
441434,Opuntia sulphurea,sulphur cactus,species,Plantae,1321
58334,Nicotiana glauca,tree tobacco,species,Plantae,1319
993381,Clematis campestris,,species,Plantae,1302
84707,Berberis microphylla,Calafate,species,Plantae,1280
792005,Dicliptera squarrosa,Uruguayan Firecracker Plant,species,Plantae,1174
370737,Tillandsia aeranthos,,species,Plantae,1161
631076,Oxypetalum solanoides,,species,Plantae,1151
484057,Sapium haematospermum,,species,Plantae,1115
116713,Larrea divaricata,,species,Plantae,1105
157839,Abutilon grandifolium,hairy abutilon,species,Plantae,1074
76226,Cestrum parqui,green cestrum,species,Plantae,1066
1506725,Sagittaria montevidensis,Aztec arrowhead,species,Plantae,1035
371182,Jodina rhombifolia,,species,Plantae,1034
62829,Parkinsonia aculeata,Mexican palo verde,species,Plantae,1025
165704,Nicotiana longiflora,long-flower tobacco,species,Plantae,1008
59040,Phyla nodiflora,turkey tangle frogfruit,species,Plantae,998
465366,Nothofagus pumilio,Lenga Beech,species,Plantae,985
163317,Glandularia peruviana,Peruvian Mock Vervain,species,Plantae,982
465345,Chiliotrichum diffusum,Fachine,species,Plantae,980
129582,Phytolacca dioica,Ombu,species,Plantae,969
1065391,Erythrostemon gilliesii,yellow bird-of-paradise shrub,species,Plantae,946
77496,Ipomoea indica,oceanblue morning glory,species,Plantae,936
56891,Aloysia gratissima,Whitebrush,species,Plantae,913
846973,Solanum granulosoleprosum,,species,Plantae,893
859233,Austroeupatorium inulifolium,Whiteweed,species,Plantae,891
209956,Parkinsonia praecox,palo brea,species,Plantae,882
84002,Tillandsia recurvata,ballmoss,species,Plantae,873
163683,Herbertia lahue,Prairie Nymph,species,Plantae,863
57913,Baccharis salicifolia,mule fat,species,Plantae,862
372267,Chloraea membranacea,Membranous Greenhood,species,Plantae,855
319327,Embothrium coccineum,Chilean fire bush,species,Plantae,843
904475,Schinus longifolia,,species,Plantae,819
153439,Zinnia peruviana,Peruvian zinnia,species,Plantae,818
797147,Azorella prolifera,Mother-in-law Cushion,species,Plantae,817
869986,Trichocereus candicans,Argentine Giant,species,Plantae,806
79137,Solanum elaeagnifolium,silverleaf nightshade,species,Plantae,804
79487,Verbena bonariensis,purpletop vervain,species,Plantae,801
962637,Pontederia crassipes,common water hyacinth,species,Plantae,789
428312,Condalia microphylla,,species,Plantae,769
424095,Aspidosperma quebracho-blanco,Common White Quebracho,species,Plantae,765
75499,Araujia sericifera,Moth Vine,species,Plantae,764
924824,Pascalia glauca,Sunchillo,species,Plantae,764
525635,Modiolastrum malvifolium,,species,Plantae,735
169064,Solanum glaucophyllum,waxy-leaved nightshade,species,Plantae,727
164075,Ipomoea alba,Moonflower,species,Plantae,725
447708,Ligaria cuneifolia,,species,Plantae,702
50203,Bidens pilosa,Hairy Beggarticks,species,Plantae,698
167072,Pluchea sagittalis,Wingstem Camphorweed,species,Plantae,698
431346,Muehlenbeckia sagittifolia,Maidenhair Vine,species,Plantae,687
430340,Echinopsis leucantha,,species,Plantae,676
464557,Dolichandra cynanchoides,,species,Plantae,669
52344,Ipomoea purpurea,common morning-glory,species,Plantae,658
438208,Cereus aethiops,,species,Plantae,654
346959,Codonorchis lessonii,Dog orchid,species,Plantae,633
871366,Vachellia aroma,,species,Plantae,630
366916,Gaultheria mucronata,Prickly Heath,species,Plantae,624
428962,Quinchamalium chilense,Quinchamali,species,Plantae,615
467158,Pavonia sepium,shell flower,species,Plantae,615
75442,Anemone multifida,Cutleaf Anemone,species,Plantae,614
157498,Heimia salicifolia,sun opener,species,Plantae,613
164208,Jaborosa integrifolia,springblossom,species,Plantae,613
869971,Trichocereus atacamensis,,species,Plantae,610
58058,Heliotropium curassavicum,alkali heliotrope,species,Plantae,608
371186,Scutia buxifolia,,species,Plantae,608
163774,Hibiscus striatus,,species,Plantae,606
77363,Heliotropium amplexicaule,fragrant heliotrope,species,Plantae,600
740103,Schinus fasciculata,,species,Plantae,600
447543,Larrea cuneifolia,,species,Plantae,588
346357,Copernicia alba,Caranday Palm,species,Plantae,579
163871,Hydrocotyle bonariensis,largeleaf pennywort,species,Plantae,577
407502,Nothofagus antarctica,Antarctic Beech,species,Plantae,577
209781,Asclepias mellodora,,species,Plantae,571
79077,Sida rhombifolia,Cuban jute,species,Plantae,568
465349,Empetrum rubrum,Diddle-dee,species,Plantae,565
410471,Alstroemeria aurea,Peruvian Lily,species,Plantae,553
52446,Enterolobium contortisiliquum,Pacara Earpod Tree,species,Plantae,531
431626,Solanum bonariense,,species,Plantae,530
479047,Cypella herbertii,Herbert's goblet flower,species,Plantae,530
410902,Aechmea distichantha,Brazilian vaseplant,species,Plantae,528
165140,Manihot grahamii,hardy tapioca,species,Plantae,527
892085,Amphilophium carolinae,,species,Plantae,524
447706,Hyalis argentea,,species,Plantae,518
146643,Canna indica,Indian shot,species,Plantae,516
169078,Solanum pseudocapsicum,Jerusalem cherry,species,Plantae,513
1493114,Neltuma caldenia,calden,species,Plantae,505
403954,Misodendrum punctulatum,false mistletoe,species,Plantae,504
498893,Larrea nitida,,species,Plantae,501
223926,Lippia alba,Bushy Lippia,species,Plantae,500
859285,Solanum amygdalifolium,,species,Plantae,494
603333,Tessaria integrifolia,,species,Plantae,492
424094,Senecio bonariensis,,species,Plantae,491
139568,Bauhinia forficata,Brazilian orchid tree,species,Plantae,490
450291,Baccharis trimera,,species,Plantae,488
78571,Physalis viscosa,grape groundcherry,species,Plantae,482
133291,Rivina humilis,pigeonberry,species,Plantae,482
872365,Aspilia silphioides,,species,Plantae,482
545573,Araujia odorata,Latexplant,species,Plantae,479
163112,Fuchsia magellanica,Hardy Fuchsia,species,Plantae,478
880795,Urolepis hecatantha,,species,Plantae,470
78589,Pistia stratiotes,Water Lettuce,species,Plantae,468
77844,Luma apiculata,arrayan,species,Plantae,463
870252,Trichocereus terscheckii,Argentine Saguaro,species,Plantae,462
130175,Hyptis mutabilis,Tropical Bushmint,species,Plantae,457
129847,Denmoza rhodacantha,,species,Plantae,455
168837,Senna corymbosa,Argentine Senna,species,Plantae,453
563934,Baccharis dracunculifolia,,species,Plantae,450
218501,Blechnum penna-marina,little hard fern,species,Plantae,449
866204,Grindelia pulchella,,species,Plantae,448
482060,Cyclolepis genistoides,,species,Plantae,445
584095,Dolichandra unguis-cati,Catclaw vine,species,Plantae,445
447545,Nothofagus betuloides,Magellanic beech,species,Plantae,440
460752,Allophylus edulis,cocum,species,Plantae,438
280109,Campuloclinium macrocephalum,Pompom Weed,species,Plantae,436
528837,Baccharis articulata,,species,Plantae,436
867130,Lycium boerhaviifolium,desert plum,species,Plantae,435
543076,Nierembergia linariifolia,dwarf cupflower,species,Plantae,432
346173,Salvia guaranitica,Anise-scented sage,species,Plantae,430
429196,Mutisia spinosa,black queen,species,Plantae,429
525588,Modiolastrum gilliesii,,species,Plantae,429
1138435,Armeria curvifolia,Curved-leaved thrift,species,Plantae,428
424164,Jaborosa runcinata,,species,Plantae,425
823355,Adesmia boronioides,,species,Plantae,425
75727,Baccharis glutinosa,marsh baccharis,species,Plantae,424
55405,Petunia axillaris,large white petunia,species,Plantae,423
126404,Araucaria araucana,monkey-puzzle,species,Plantae,419
539113,Lycium cestroides,Herzog cestrum,species,Plantae,416
79359,Thymophylla pentachaeta,Parralena,species,Plantae,411
544478,Sambucus australis,,species,Plantae,410
484056,Baccharis notosergila,,species,Plantae,408
557627,Eryngium horridum,,species,Plantae,404
168866,Sesbania virgata,wand riverhemp,species,Plantae,403
79382,Tradescantia fluminensis,Rio Spiderwort,species,Plantae,402
427727,Glandularia tenera,Latin American Mock Vervain,species,Plantae,398
465229,Ribes magellanicum,Patagonian wild currant,species,Plantae,398
790108,Araujia angustifolia,,species,Plantae,398
209991,Salix humboldtiana,Humboldt's Willow,species,Plantae,397
71230,Tessaria absinthioides,,species,Plantae,395
78233,Nothoscordum gracile,Onion Weed,species,Plantae,392
428960,Mutisia decurrens,carnation of the field,species,Plantae,391
131169,Mikania cordifolia,Florida Keys Hempvine,species,Plantae,389
52355,Pavonia hastata,Spearleaf Swampmallow,species,Plantae,382
465228,Gunnera magellanica,Pigvine,species,Plantae,382
967278,Baccharis punctulata,,species,Plantae,382
57805,Oxalis articulata,pink-sorrel,species,Plantae,381
79291,Syagrus romanzoffiana,Queen palm,species,Plantae,381
1493104,Neltuma alba,White Carob Tree,species,Plantae,373
84043,Solanum palinacanthum,,species,Plantae,370
443965,Stetsonia coryne,Toothpick Cactus,species,Plantae,368
898657,Senegalia bonariensis,,species,Plantae,368
48363,Tecoma stans,yellow trumpet flower,species,Plantae,367
364987,Butia yatay,yatay palm,species,Plantae,365
57354,Schinus molle,Peruvian Pepper Tree,species,Plantae,363
56822,Bowlesia incana,hoary bowlesia,species,Plantae,362
862010,Stigmaphyllon bonariense,,species,Plantae,361
165115,Malvastrum coromandelianum,three-lobe false mallow,species,Plantae,355
